id,title,owner,priority,conditions,req,tech,why,pre,data,steps,expected
CP-CAT-01,Ordenamiento por nombre,Franco,Media,CT-CAT-01,E-RF01,Partición de equivalencia,"Se comparan las clases A-Z y Z-A, incluyendo empate sin exigir un desempate no especificado.",Categoría accesible con al menos dos nombres distintos; idioma inglés; registrar listado completo y número de páginas.,"Desktops; mostrar25 (12 productos observados como referencia, recapturar en nueva corrida).","Abrir categoría y guardar conjunto inicial de nombres.
Seleccionar Name (A - Z); leer todas las páginas o mostrar todos.
Comparar nombres consecutivos; registrar empates.
Seleccionar Name (Z - A) y repetir; comparar conjunto final con inicial.",Orden lexicográfico correcto en ambos sentidos para nombres de la muestra; sin pérdidas ni duplicados. No ejecutado por prioridad Media.
CP-CAT-02,Ordenamiento por precio,Franco,Alta,CT-CAT-02,E-RF01,Partición de equivalencia,Ascendente y descendente son clases del criterio; se incluyen precios iguales y promociones.,"Catálogo disponible, misma moneda USD y al menos dos precios distintos. Usar precio vigente, no precio tachado.","Desktops; Show25; 12 productos. Referencias: Canon98, Apple110, HP122, HTC122, iPodClassic122, Product8 122, iPhone123.20, Samsung242, Palm337.99, MacBook602, MacBookAir1202, Sony1202.","Abrir Desktops, seleccionar Show25 y anotar productos/precios.
Seleccionar Price (Low > High); comparar cada precio con el siguiente.
Capturar lista y criterio.
Seleccionar Price (High > Low); repetir y comprobar igualdad del conjunto.","Ascendente no decrece; descendente no crece; los12 productos se conservan. Empates permitidos. Precio especial98 de Canon se ordena por98, no por122."
CP-PRO-01,Omisión de opción obligatoria,Franco,Alta,CT-PRO-01,E-RF02,Partición de equivalencia,Una opción requerida ausente representa la clase inválida; se aísla de otros campos.,"Carrito vacío; producto con una opción obligatoria identificada; resto de datos válido. Registrar si carece de alternativas válidas, sin confundirlo con la validación de ausencia.","Canon EOS5D, Select sin elegir, cantidad1. El25/09 sólo se ofreció el placeholder.","Abrir ficha; identificar campo requerido y contador del carrito.
Dejar Select sin seleccionar, cantidad1 y pulsar Add to Cart una vez.
Esperar respuesta, registrar mensaje y verificar que el carrito permanece vacío.",No se añade el producto y el mensaje identifica Select. No demuestra que existan opciones válidas ni valida su precio.
CP-PRO-02,Opciones válidas y variación de precio,Franco,Alta,CT-PRO-02; CT-PRO-03,E-RF02 / E-RF03 derivados,Partición de equivalencia,"Comparar opción sin recargo y con recargo manteniendo constantes producto, cantidad e impuestos.","Producto con todas las opciones requeridas seleccionables, stock suficiente y ajuste fiscalmente interpretable; carrito limpio. Registrar precio base, ajuste y si incluye impuestos antes de ejecutar.","Candidato Apple Cinema30: Select Blue +5.60, Green +3.20 y Checkbox3 +38 mostrados; faltan alternativas Radio. Alternativos Canon y Product8 tampoco tienen opciones seleccionables. Datos válidos completos pendientes de provisión.","Verificar todas las alternativas requeridas; si alguna falta, registrar bloqueo sin inventar selección.
En ambiente habilitado, completar opciones válidas y añadir una unidad o el mínimo del producto.
Comparar opciones y precio en carrito contra base más ajustes con igual criterio fiscal.
Vaciar, cambiar sólo una opción de recargo conocido y repetir.",Cada configuración agrega exactamente lo solicitado; diferencia de precio corresponde al ajuste configurado e impuestos aplicables. Sin alternativas o regla fiscal verificable: Bloqueado.
CP-CAR-01,Actualización de cantidad válida,Franco,Alta,CT-CAR-01,E-RF03,Partición de equivalencia,Se verifica una cantidad válida antes y después del cambio; se separa importe neto del gravado.,"Carrito limpio, iPodNano disponible sin opciones, sin cupón ni envío aplicado; cantidad2 dentro de stock.","USD; iPodNano1 y2. Referencia: base100, precio mostrado122, EcoTax2/unidad, VAT20/unidad.","Añadir1 iPodNano y guardar unitario, línea, subtotal, impuestos y total.
Cambiar cantidad a2 y pulsar actualizar; esperar respuesta.
Recalcular línea usando unitario mostrado por cantidad cuando ambos representan la misma base fiscal.
Comparar subtotal200, EcoTax4, VAT40 y total244; registrar cualquier discrepancia de línea.","Para los datos observados:1 unidad línea122 total122;2 unidades línea244 total244, neto200 y tributos44. Si la interfaz usa otra base fiscal debe explicitarla; no comparar línea gravada con subtotal neto."
CP-CAR-02,Cantidad inválida o superior al stock,Franco,Alta,CT-CAR-02; CT-CAR-03,E-RF03 / E-RF08 derivados,Partición de equivalencia y valores límite,"Clases inválidas y frontera real del inventario:0,1 y S,S+1. Los tiempos1999/2000/2001 no se presentan como datos ejecutados.",Stock S leído en panel; producto sin opciones; carrito de prueba; anotar política de venta sin stock si es accesible. Restablecer una unidad entre variantes destructivas; verificar que S no cambió por terceros.,"iPod Nano: stock S = 147 observado el 25/09; variantes 0, -1, 1.5, abc, vacío, 147 y 148.","Con1 unidad, probar por separado0,-1,1.5,abc y vacío; actualizar y registrar cantidad persistida, avisos y total. Reponer1 antes de cada variante.
Fijar147; comprobar ausencia de marca de insuficiencia.
Fijar148; comprobar advertencia y pulsar Checkout.
Registrar si el sistema impide la compra; no generar pedidos con unidades inválidas. Limpiar carrito.","Ninguna cantidad negativa, fraccionaria o no numérica queda comprable. Cero puede retirar línea. Normalización silenciosa se informa como observación. Con política restrictiva S+1 debe bloquear checkout y S no debe marcar insuficiencia. La aritmética monetaria se juzga en CP-CAR-01; no se declara compra de147 completada."
CP-CUP-01,Aplicación de cupón válido,Franco,Alta,CT-CUP-01,E-RF04,Partición de equivalencia,"Representante de código vigente, activo y elegible; oráculo calculado antes de aplicar.","Cupón activo, fechas vigentes, usos disponibles, condiciones de login/mínimo y productos verificadas; carrito elegible. Registrar tipo, valor y base antes de probar.","Candidato 2222, descuento de 10 por ciento según el panel: el 25/09 estaba deshabilitado y vencido desde el 01/01/2020. Para ejecutar el caso se requiere un cupón activo, vigente y con condiciones conocidas.","Leer configuración vigente y registrar elegibilidad. Si no hay cupón válido, documentar bloqueo.
Con fixture válido, registrar subtotal e impuestos iniciales.
Aplicar código una vez y registrar línea de descuento y total.
Calcular descuento sobre base elegible; si base100 y10%, descuento neto10; recalcular impuestos según configuración verificada.","Una aplicación, descuento exacto según tipo/valor y base; total nunca negativo y tributos coherentes. No fijar total final usando una política fiscal desconocida."
CP-CUP-02,"Cupón inválido, no aplicable o duplicado",Franco,Alta,CT-CUP-02; CT-CUP-03; CT-CUP-04; CT-CUP-05,E-RF04 y riesgo de duplicación,Tabla de decisión y transición de estados,Cruza validez/elegibilidad y modela sin cupón -> aplicado -> reaplicado -> carrito cambiado.,"Carrito iPodNano1 sin descuento. Para variantesC-D-E, cupón válido de CP-CUP-01, restricciones y mínimo conocidos. Reiniciar estado entre variantes independientes.",A:QA-NO-EXISTE-20260924; B:2222 vencido/deshabilitado; C:cupón vigente limitado a otro producto; D:mismo cupón dos veces; E:retirar producto elegible o bajar del mínimo.,"A:aplicar código inexistente; guardar error y total.
B:aplicar2222 y contrastar con estado leído en panel.
C:con cupón válido, usar carrito no elegible y aplicar.
D:restablecer carrito elegible, aplicar una vez y reaplicar; comparar descuento.
E:cambiar elegibilidad y actualizar; verificar retiro/recalculo del beneficio.","A/B/C:error y ningún descuento nuevo. D:descuento único no acumulado. E:descuento revalidado. Si C-D-E carecen de cupón válido, registrar variantes Bloqueadas y no aprobar todo el caso."
CP-CHK-01,Checkout invitado hasta pago,Granit,Alta,CT-CHK-01; CT-CHK-02; CT-CHK-03,E-RF05,Partición de equivalencia,Campo vacío y completo; identidad invitada válida sin contraseña.,Carrito con iPodNano disponible; sin sesión de cliente; dirección ficticia; no suscribirse al boletín.,"Test / QA CS5383 / qa.cs5383.test@example.com; Av.Prueba123, London, SW1A1AA, UnitedKingdom, GreaterLondon.1 unidad en corrida25/09;2 en historial24/09.","Abrir Checkout y seleccionar Guest Checkout.
Completar todo excepto apellido y pulsar Continue; registrar validación.
Completar apellido y continuar; verificar datos guardados sin registro.
Pulsar Choose en Payment Method; registrar opciones o error.
Si hay pago aplicable, dejar preparado para CP-CON-01; no declarar orden confirmada en este caso.","Apellido vacío produce error específico; datos completos se guardan sin cuenta y existe método aplicable para continuar. La confirmación final de E-RF05 se verifica en CP-CON-01. Sin pago aplicable se registra fallo de este recorrido, sin inferir causa raíz ni fallo para todo cliente."
CP-CON-01,Número y resumen del pedido,Granit,Alta,CT-CON-01; CT-CON-02; CT-CHK-01,E-RF06 / E-RF05,Prueba de caso de uso,Verificación de extremo a extremo desde intención de compra hasta orden confirmada.,"CP-CHK-01 llega a pago y envío aplicables; sin advertencias; entorno de demostración y datos ficticios. Si falta pago, Bloqueado.","Pedido propio; capturar producto, opciones, cantidad y desglose actual. No fijar244 si hay envío u otro impuesto. Para2 Nano sin envío, referencia neto200 +eco4 +VAT40 =244.","Capturar resumen previo con todas las líneas e importes.
Verificar suma neto+impuestos+envío-descuentos y coherencia de cada línea.
Confirmar una vez; registrar número de orden y mensaje.
Comparar productos, opciones, cantidades y total antes/después; comprobar que siguió siendo invitado.","Identificador no vacío; resumen confirmado idéntico a intención válida; importe de línea se compara con unitario de igual base fiscal, nunca con neto200 de forma automática. E-RF05 completo sólo si la orden final existe."
